state_name,places,indoor,outdoor,total_courts,state
Alabama,124,180,459,639,AL
Alaska,39,101,75,176,AK
American Samoa,1,3,0,3,AS
Arizona,309,126,1442,1568,AZ
Arkansas,82,226,332,558,AR
California,839,884,2788,3672,CA
Colorado,270,504,1110,1614,CO
Connecticut,153,352,408,760,CT
Delaware,37,66,119,185,DE
District of Columbia,22,35,56,91,DC
Florida,642,442,2041,2483,FL
Georgia,318,525,847,1372,GA
Guam,1,0,1,1,GU
Hawaii,88,82,270,352,HI
Idaho,118,147,360,507,ID
Illinois,427,891,936,1827,IL
Indiana,268,534,738,1272,IN
Iowa,163,408,480,888,IA
Kansas,112,495,243,738,KS
Kentucky,127,282,312,594,KY
Louisiana,93,192,184,376,LA
Maine,119,303,180,483,ME
Maryland,197,492,272,764,MD
Massachusetts,296,732,546,1278,MA
Michigan,415,1071,1197,2268,MI
Minnesota,251,708,810,1518,MN
Mississippi,77,152,194,346,MS
Missouri,300,528,468,996,MO
Montana,56,154,268,422,MT
Nebraska,77,198,190,388,NE
Nevada,95,90,394,484,NV
New Hampshire,51,122,310,432,NH
New Jersey,249,450,675,1125,NJ
New Mexico,80,184,246,430,NM
New York,459,990,780,1770,NY
North Carolina,457,860,1020,1880,NC
North Dakota,19,45,25,70,ND
Northern Mariana Islands,3,0,11,11,MP
Ohio,495,1000,1170,2170,OH
Oklahoma,106,273,264,537,OK
Oregon,174,356,580,936,OR
Pennsylvania,421,450,1152,1602,PA
Puerto Rico,12,2,38,40,PR
Rhode Island,32,33,79,112,RI
South Carolina,209,255,800,1055,SC
South Dakota,47,73,89,162,SD
Tennessee,181,372,388,760,TN
Texas,647,1261,1261,2522,TX
United States Minor Outlying Islands,0,0,0,0,UM
Utah,156,304,672,976,UT
Vermont,71,84,232,316,VT
Virgin Islands,1,0,4,4,VI
Virginia,377,440,848,1288,VA
Washington,290,252,816,1068,WA
West Virginia,56,132,278,410,WV
Wisconsin,288,414,888,1302,WI
Wyoming,38,71,100,171,WY
